collection_date	run_accession	biosample	size_mb
2026-02-25	SRR37494387	SAMN56353621	1515
2026-03-02	SRR37595287	SAMN56477452	1058
2026-03-04	SRR37595276	SAMN56477451	1386
2026-03-09	SRR37703057	SAMN56602641	496
2026-03-11	SRR37703048	SAMN56602640	579
2026-03-16	SRR37804652	SAMN56725792	763
2026-03-18	SRR37804669	SAMN56725791	1389
2026-03-23	SRR37917458	SAMN57089771	626
2026-03-25	SRR37917423	SAMN57089770	614
2026-03-30	SRR38025775	SAMN57185551	970
2026-04-01	SRR38025753	SAMN57185550	833
2026-04-06	SRR38138894	SAMN57310560	556
2026-04-08	SRR38138870	SAMN57310559	513
2026-04-13	SRR38259758	SAMN57449642	1389
2026-04-15	SRR38259706	SAMN57449641	1073
2026-04-20	SRR38333512	SAMN57591023	1459
2026-04-22	SRR38333493	SAMN57591022	902
2026-04-27	SRR38431620	SAMN59333970	671
2026-04-29	SRR38431597	SAMN59333969	655
2026-05-04	SRR38618172	SAMN60096367	1167
2026-05-06	SRR38618131	SAMN60096366	1399
2026-05-11	SRR38788703	SAMN60347638	553
2026-05-13	SRR38788678	SAMN60347637	760
2026-05-18	SRR38906233	SAMN60510154	915
2026-05-20	SRR38906223	SAMN60510153	1045
2026-05-25	SRR39003977	SAMN60625254	917
2026-05-27	SRR39003964	SAMN60625253	748
