run_accession	collection_date	size_mb	download_sec	fasterq_sec	kraken2_sec	total_sec	status
SRR37494387	2026-02-25	1515	199	77	222	498	OK
SRR37595287	2026-03-02	1058	94	52	146	292	OK
SRR37595276	2026-03-04	1386	156	71	207	434	OK
SRR37703057	2026-03-09	496	35	33	98	166	OK
SRR37703048	2026-03-11	579	53	33	101	187	OK
SRR37804652	2026-03-16	763	56	45	126	227	OK
SRR37804669	2026-03-18	1389	110	79	235	424	OK
SRR37917458	2026-03-23	626	51	38	106	195	OK
SRR37917423	2026-03-25	614	55	37	91	183	OK
SRR38025775	2026-03-30	970	137	55	153	345	OK
SRR38025753	2026-04-01	833	98	46	140	284	OK
SRR38138894	2026-04-06	556	52	31	95	178	OK
SRR38138870	2026-04-08	513	38	29	85	152	OK
SRR38259758	2026-04-13	1389	148	73	214	435	OK
SRR38259706	2026-04-15	1073	65	67	170	302	OK
SRR38333512	2026-04-20	1459	83	77	225	385	OK
SRR38333493	2026-04-22	902	54	60	159	273	OK
SRR38431620	2026-04-27	671	39	37	100	176	OK
SRR38431597	2026-04-29	655	34	35	97	166	OK
SRR38618172	2026-05-04	1167	61	62	181	304	OK
SRR38618131	2026-05-06	1399	93	72	207	372	OK
SRR38788703	2026-05-11	553	56	30	79	165	OK
SRR38788678	2026-05-13	760	49	40	123	212	OK
SRR38906233	2026-05-18	915	51	45	133	229	OK
SRR38906223	2026-05-20	1045	84	56	168	308	OK
SRR39003977	2026-05-25	917	70	53	139	262	OK
SRR39003964	2026-05-27	748	81	40	109	230	OK
SRR36005439	2025-11-05	1255	91	61	198	350	OK
SRR36112066	2025-11-10	1067	77	51	149	277	OK
SRR36112025	2025-11-12	1132	82	59	176	317	OK
SRR36264585	2025-11-17	1500	90	70	200	360	OK
SRR36264564	2025-11-19	2075	106	88	258	452	OK
SRR36348207	2025-11-21	457	29	21	68	118	OK
SRR36348183	2025-11-24	429	30	20	64	114	OK
SRR36435466	2025-12-01	1385	78	61	200	339	OK
SRR36435440	2025-12-03	1643	95	81	211	387	OK
SRR36507682	2025-12-08	1439	104	71	194	369	OK
SRR36507667	2025-12-10	1936	109	82	256	447	OK
SRR36602238	2025-12-15	1630	95	74	219	388	OK
SRR36602211	2025-12-17	1385	92	69	260	421	OK
SRR36668488	2025-12-19	888	59	47	162	268	OK
SRR36668474	2025-12-22	850	48	44	135	227	OK
SRR36780782	2025-12-26	320	22	16	53	91	OK
SRR36780765	2025-12-29	295	22	15	55	92	OK
SRR36861630	2026-01-05	1193	74	59	167	300	OK
SRR36861598	2026-01-07	1178	68	53	157	278	OK
SRR36980394	2026-01-12	702	43	33	104	180	OK
SRR36980416	2026-01-14	873	54	43	124	221	OK
SRR37039317	2026-01-19	748	75	37	119	231	OK
SRR37039297	2026-01-21	826	57	38	110	205	OK
SRR37125323	2026-01-23	1749	108	78	213	399	OK
SRR37222542	2026-02-02	1234	76	59	172	307	OK
SRR37222518	2026-02-04	1511	106	63	204	373	OK
SRR37315438	2026-02-09	852	73	40	123	236	OK
SRR37315405	2026-02-12	504	35	28	77	140	OK
SRR37380401	2026-02-16	1146	61	52	150	263	OK
SRR37380358	2026-02-18	1007	63	47	140	250	OK
SRR37494417	2026-02-23	1717	129	85	263	477	OK
SRR39113007	2026-06-01	1011	65	62	172	299	OK
SRR39112987	2026-06-03	961	61	47	142	250	OK
