collection_date	run_accession	biosample	size_mb
2025-11-05	SRR36005439	SAMN53206937	1255
2025-11-10	SRR36112066	SAMN53330429	1067
2025-11-12	SRR36112025	SAMN53330428	1132
2025-11-17	SRR36264585	SAMN53539697	1500
2025-11-19	SRR36264564	SAMN53539696	2075
2025-11-21	SRR36348207	SAMN53758336	457
2025-11-24	SRR36348183	SAMN53758335	429
2025-12-01	SRR36435466	SAMN53918667	1385
2025-12-03	SRR36435440	SAMN53918666	1643
2025-12-08	SRR36507682	SAMN54199857	1439
2025-12-10	SRR36507667	SAMN54199856	1936
2025-12-15	SRR36602238	SAMN54311690	1630
2025-12-17	SRR36602211	SAMN54311689	1385
2025-12-19	SRR36668488	SAMN54436187	888
2025-12-22	SRR36668474	SAMN54436186	850
2025-12-26	SRR36780782	SAMN54562674	320
2025-12-29	SRR36780765	SAMN54562673	295
2026-01-05	SRR36861630	SAMN54680823	1193
2026-01-07	SRR36861598	SAMN54680822	1178
2026-01-12	SRR36980394	SAMN54893230	702
2026-01-14	SRR36980416	SAMN54893229	873
2026-01-19	SRR37039317	SAMN54962697	748
2026-01-21	SRR37039297	SAMN54962696	826
2026-01-23	SRR37125323	SAMN55077464	1749
2026-02-02	SRR37222542	SAMN55342627	1234
2026-02-04	SRR37222518	SAMN55342626	1511
2026-02-09	SRR37315438	SAMN55873763	852
2026-02-12	SRR37315405	SAMN55873762	504
2026-02-16	SRR37380401	SAMN55975729	1146
2026-02-18	SRR37380358	SAMN55975728	1007
2026-02-23	SRR37494417	SAMN56353622	1717
2026-02-25	SRR37494387	SAMN56353621	1515
2026-03-02	SRR37595287	SAMN56477452	1058
2026-03-04	SRR37595276	SAMN56477451	1386
2026-03-09	SRR37703057	SAMN56602641	496
2026-03-11	SRR37703048	SAMN56602640	579
2026-03-16	SRR37804652	SAMN56725792	763
2026-03-18	SRR37804669	SAMN56725791	1389
2026-03-23	SRR37917458	SAMN57089771	626
2026-03-25	SRR37917423	SAMN57089770	614
2026-03-30	SRR38025775	SAMN57185551	970
2026-04-01	SRR38025753	SAMN57185550	833
2026-04-06	SRR38138894	SAMN57310560	556
2026-04-08	SRR38138870	SAMN57310559	513
2026-04-13	SRR38259758	SAMN57449642	1389
2026-04-15	SRR38259706	SAMN57449641	1073
2026-04-20	SRR38333512	SAMN57591023	1459
2026-04-22	SRR38333493	SAMN57591022	902
2026-04-27	SRR38431620	SAMN59333970	671
2026-04-29	SRR38431597	SAMN59333969	655
2026-05-04	SRR38618172	SAMN60096367	1167
2026-05-06	SRR38618131	SAMN60096366	1399
2026-05-11	SRR38788703	SAMN60347638	553
2026-05-13	SRR38788678	SAMN60347637	760
2026-05-18	SRR38906233	SAMN60510154	915
2026-05-20	SRR38906223	SAMN60510153	1045
2026-05-25	SRR39003977	SAMN60625254	917
2026-05-27	SRR39003964	SAMN60625253	748
2026-06-01	SRR39113007	SAMN60760938	1011
2026-06-03	SRR39112987	SAMN60760937	961
